UpperClassLimit;LowerClassLimit;PercentageCover;ClassInterval;Code
0.249;0.05;0.100000001490116;0.199;"1"
0.049;0;0.00999999977648258;0.049;"+"
100;98.425;100;1.575;"W"
27.459;24.24;25.7999992370605;3.219;"G"
60.519;55.68;58.0499992370605;4.839;"O"
7.314;5.695;6.44999980926514;1.619;"8"
38.344;34.515;36.3800010681152;3.829;"J"
98.424;93.775;96.85;4.649;"V"
34.514;30.885;32.6500015258789;3.629;"I"
15.769;13.355;14.5100002288818;2.414;"C"
30.884;27.46;29.1200008392334;3.424;"H"
51.044;46.61;48.7799987792969;4.434;"M"
76.284;70.8;73.47;5.484;"R"
4.284;3.075;3.63000011444092;1.209;"6"
21.214;18.39;19.75;2.824;"E"
3.074;2.065;2.51999998092651;1.009;"5"
70.799;65.56;68.13;5.239;"Q"
11.139;9.13;10.0799999237061;2.009;"A"
93.774;87.73;90.7;6.044;"U"
87.729;81.93;84.76;5.799;"T"
65.559;60.52;62.99;5.039;"P"
46.609;42.375;44.44;4.234;"L"
55.679;51.045;53.310001373291;4.634;"N"
0.654;0.25;0.400000005960464;0.404;"2"
13.354;11.14;12.1999998092651;2.214;"B"
1.259;0.655;0.910000026226044;0.613;"3"
5.694;4.285;4.94000005722046;1.409;"7"
18.389;15.77;17.0300006866455;2.619;"D"
2.064;1.26;1.61000001430511;0.804;"4"
24.239;21.215;22.68;3.024;"F"
81.929;76.285;79.1;5.644;"S"
9.129;7.315;8.18000030517578;1.814;"9"
